USE,NAME,ALIAS,VERSION,INSTALL,COMMENT,NEEDS,DOCS
___,___,___,___,"___","___","___","___"
___,cargo,___,___,"<see>https://rustup.rs<\see>","rust cli manager","rustc","https://github.com/rust-lang/cargo"
___,cargo-asm,asm,___,"cargo install cargo-asm","rust assembly-viewer","cargo,zsh","https://github.com/gnzlbg/cargo-asm"
___,cargo-bloat,bloat,___,"cargo install cargo-bloat","rust binary-size analyzer","cargo,zsh","https://github.com/RazrFalcon/cargo-bloat"
___,cargo-dist,dist,___,"cargo install cargo-dist --locked","rust distribution","cargo,zsh","https://opensource.axo.dev/cargo-dist/book/install.html"
___,cargo-expand,expand,___,"cargo install cargo-expand","rust macro expander","cargo,zsh","https://github.com/dtolnay/cargo-expand?tab=readme-ov-file"
___,cargo-generate,generate,___,"cargo install cargo-generate","rust template","cargo,zsh","https://cargo-generate.github.io/cargo-generate/index.html"
___,cargo-insta,insta,___,"cargo install cargo-insta","rust snapshot-viewer","cargo,zsh","https://insta.rs/docs/cli/"
___,cargo-machete,machete,___,"cargo install cargo-machete","rust dependency-winnower","cargo,zsh","https://github.com/bnjbvr/cargo-machete"
___,cargo-nextest,nextest,___,"cargo install cargo-nextest --locked","rust tester","cargo,zsh","https://nexte.st"
___,cargo-pgo,pgo,___,"cargo install cargo-pgo","rust profile-guided-optimizer","cargo,zsh","https://github.com/Kobzol/cargo-pgo"
___,cargo-release,release,___,"cargo install cargo-release","rust release-helper","cargo,zsh","https://github.com/crate-ci/cargo-release"
___,cargo-watch,watch,___,"cargo install cargo-watch --locked","rust on-change-executor","cargo,zsh","https://github.com/watchexec/cargo-watch"
___,choose,___,___,"cargo install choose","cli snippet-selector","zsh","https://github.com/theryangeary/choose"
___,committed,___,___,"cargo install committed","git commit-check","zsh","https://github.com/crate-ci/committed"
___,fd,___,___,"cargo install fd-find","cli file-search","zsh","https://github.com/sharkdp/fd"
___,git-cliff,___,___,"cargo install git-cliff","ci/cd changelog-generator","zsh","https://git-cliff.org/docs/"
___,hyperfine,___,___,"cargo install --locked hyperfine","cli benchmark","zsh","https://github.com/sharkdp/hyperfine"
___,just,justfile,___,"cargo install just","runner","zsh","http://just.systems/man/en/"
___,jql,___,___,"cargo install jql","cli json-querier","zsh","https://medium.com/short-bits/jql-rust-based-json-query-language-ed1d7c6a1ae0"
___,rg,ripgrep,___,"cargo install ripgrep","cli regex-text-search","zsh","https://github.com/BurntSushi/ripgrep"
___,rye,astral-rye,___,"cargo install --git https://github.com/astral-sh/rye rye","python rust-interfacing-manager","python,rust,zsh","https://rye.astral.sh"
___,samply,___,___,"cargo install --locked samply","cli perf-analysis","zsh","https://github.com/mstange/samply"
___,sd,___,___,"cargo install sd","cli regex-replace","zsh","https://github.com/chmln/sd"
___,sqlx-cli,___,___,"cargo install sqlx-cli --no-default-features --features rustls<see>add support as needed<\see>","sqlx accessory","rust,sqlx,zsh","https://github.com/launchbadge/sqlx/tree/main/sqlx-cli"
___,tokio-console,___,___,"cargo install --locked tokio-console","rust tracing-live-viewer","zsh","https://github.com/tokio-rs/console"
___,typos,typos-cli,___,"cargo install typos-cli","ci/cd spell-check","zsh","https://github.com/crate-ci/typos"
___,xh,xhs,___,"cargo install xh --locked","cli http-call","zsh","https://github.com/ducaale/xh"
___,xsv,___,___,"cargo install xsv","cli csv-reader","zsh","https://github.com/BurntSushi/xsv"
